time_clock,start_h,end_h,tes_mult_test,type
0,0,1,2,night
1,1,2,2,night
2,2,3,2,night
3,3,4,2,night
4,4,5,2,night
5,5,6,2,night
6,6,7,1,day
7,7,8,1,day
8,8,9,1,day
9,9,10,1,day
10,10,11,1,day
11,11,12,1,day
12,12,13,1,day
13,13,14,1,day
14,14,15,1,day
15,15,16,1,day
16,16,17,1,day
17,17,18,1,day
18,18,19,1.5,evening
19,19,20,1.5,evening
20,20,21,1.5,evening
21,21,22,2,night
22,22,23,2,night
23,23,24,2,night
